Нзавание столбца,Расшифровка,Описание,Тип данных,Система измерения,
Age,Возраст,Возраст участника,Числовой,Года,
Gender,Пол,Пол участника,Числовой,-,
Resting_BPM,Частота ударов сердца во время отдыха,Измерьте частоту сердечных сокращений в состоянии покоя перед началом тренировки,Числовой,Удары в минуту,
Water_Intake (liters),Количество потребляемой воды,Среднесуточное потребление воды,Числовой,Литры,
Workout_Frequency (days/week),Частота тренеровок,Количество тренировочных дней в неделю,Числовой,Дни,
Experience_Level,Опыт,Уровень физической подготовки,Числовой,"1=Начинающий, 2= Средний, 3=Продвинутый",
Carbs,Углеводы,Ежедневное потребление углеводов,Числовой,Граммы,
Proteins,Белки,Ежедневное потребление белков,Числовой,Граммы,
Fats,Жиры,Ежедневное потребление жиров,Числовой,Граммы,
Calories,Калории,Общее ежедневное потребление калорий с пищей,Числовой,-,
Burns Calories (per 30 min),Соженные калории,"Предполагаемые калории, сожженные за 30 минут этого упражнения",Числовой,Грамм/30 мин,
Burns Calories (per 30 min)_bc,Соженные калории с зависимостью от веса тела,"Предполагаемые калории, сожженные за 30 минут этого упражнения с зависимостью от веса тела",Числовой,Грамм/30 мин,
Burns_Calories_Bin,,,Числовой,0 = Средний1 = Высокий2 = Низкий3 = Очень высокий,
Physical exercise,Физические упражнения,Указывает на тип или частоту физической активности,Числовой,-,
